I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,180.0000000000008,350.00000000000153,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-130.00000000000057,190.00000000000085,180.0000000000008,340.00000000000153,380.0000000000017,300.0000000000013
-10.000000000000044,-0.0,-0.0,-0.0,-10.000000000000044,-0.0,-130.00000000000057,190.00000000000085,170.00000000000077,330.0000000000015,370.00000000000165,290.0000000000013
-20.00000000000009,-0.0,10.000000000000044,-0.0,-10.000000000000044,-0.0,-120.00000000000054,180.0000000000008,170.00000000000077,320.0000000000014,360.0000000000016,280.00000000000125
-20.00000000000009,-0.0,20.00000000000009,10.000000000000044,-20.00000000000009,-0.0,-110.00000000000048,170.00000000000077,170.00000000000077,310.00000000000136,340.00000000000153,260.00000000000114
-30.000000000000135,-0.0,20.00000000000009,10.000000000000044,-20.00000000000009,-0.0,-100.00000000000044,160.0000000000007,160.0000000000007,290.0000000000013,320.0000000000014,240.00000000000108
-20.00000000000009,-0.0,20.00000000000009,10.000000000000044,-20.00000000000009,-0.0,-90.0000000000004,150.00000000000065,150.00000000000065,270.0000000000012,300.0000000000013,230.00000000000102
-20.00000000000009,-0.0,10.000000000000044,10.000000000000044,-20.00000000000009,-0.0,-80.00000000000036,140.00000000000063,140.00000000000063,250.0000000000011,280.00000000000125,210.00000000000094
-10.000000000000044,-0.0,-0.0,-0.0,-10.000000000000044,-0.0,-60.00000000000027,120.00000000000054,130.00000000000057,230.00000000000102,250.0000000000011,190.00000000000085
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-50.00000000000022,110.00000000000048,120.00000000000054,210.00000000000094,230.00000000000102,160.0000000000007
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-40.00000000000018,90.0000000000004,110.00000000000048,180.0000000000008,200.00000000000088,140.00000000000063
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-30.000000000000135,80.00000000000036,90.0000000000004,160.0000000000007,170.00000000000077,110.00000000000048
