I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-40.00000000000018,-10.000000000000044,20.00000000000009,20.00000000000009,-30.000000000000135,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-60.00000000000027,-10.000000000000044,30.000000000000135,30.000000000000135,-50.00000000000022,-0.0,20.00000000000009,10.000000000000044,10.000000000000044,10.000000000000044,20.00000000000009,20.00000000000009
-70.00000000000031,-10.000000000000044,50.00000000000022,40.00000000000018,-60.00000000000027,10.000000000000044,30.000000000000135,20.00000000000009,10.000000000000044,10.000000000000044,20.00000000000009,20.00000000000009
-70.00000000000031,-10.000000000000044,60.00000000000027,40.00000000000018,-60.00000000000027,20.00000000000009,40.00000000000018,30.000000000000135,20.00000000000009,10.000000000000044,20.00000000000009,20.00000000000009
-80.00000000000036,-10.000000000000044,50.00000000000022,40.00000000000018,-60.00000000000027,10.000000000000044,50.00000000000022,30.000000000000135,20.00000000000009,10.000000000000044,20.00000000000009,20.00000000000009
-80.00000000000036,-20.00000000000009,40.00000000000018,50.00000000000022,-60.00000000000027,-0.0,50.00000000000022,30.000000000000135,20.00000000000009,10.000000000000044,20.00000000000009,20.00000000000009
-100.00000000000044,-30.000000000000135,50.00000000000022,70.00000000000031,-70.00000000000031,-0.0,40.00000000000018,30.000000000000135,20.00000000000009,10.000000000000044,20.00000000000009,20.00000000000009
-110.00000000000048,-50.00000000000022,40.00000000000018,80.00000000000036,-80.00000000000036,-0.0,30.000000000000135,30.000000000000135,10.000000000000044,10.000000000000044,20.00000000000009,20.00000000000009
-110.00000000000048,-60.00000000000027,70.00000000000031,70.00000000000031,-90.0000000000004,10.000000000000044,10.000000000000044,20.00000000000009,-0.0,-0.0,20.00000000000009,20.00000000000009
-90.0000000000004,-40.00000000000018,100.00000000000044,40.00000000000018,-100.00000000000044,50.00000000000022,-0.0,-0.0,-0.0,-0.0,20.00000000000009,20.00000000000009
-40.00000000000018,-0.0,140.00000000000063,-40.00000000000018,-90.0000000000004,-360.0000000000016,-20.00000000000009,-0.0,-10.000000000000044,-0.0,20.00000000000009,20.00000000000009
60.00000000000027,100.00000000000044,190.00000000000085,-160.0000000000007,-70.00000000000031,-360.0000000000016,-40.00000000000018,-10.000000000000044,-20.00000000000009,-0.0,10.000000000000044,10.000000000000044
180.0000000000008,260.00000000000114,250.0000000000011,-320.0000000000014,-30.000000000000135,-360.0000000000016,-50.00000000000022,-20.00000000000009,-30.000000000000135,-10.000000000000044,10.000000000000044,10.000000000000044
300.0000000000013,440.00000000000193,300.0000000000013,-260.00000000000114,10.000000000000044,-370.00000000000165,-60.00000000000027,-30.000000000000135,-30.000000000000135,-10.000000000000044,-0.0,10.000000000000044
400.00000000000176,610.0000000000027,320.0000000000014,-260.00000000000114,40.00000000000018,-370.00000000000165,-60.00000000000027,-30.000000000000135,-30.000000000000135,-20.00000000000009,-0.0,-0.0
460.00000000000205,740.0000000000033,320.0000000000014,-250.0000000000011,60.00000000000027,-330.0000000000015,-60.00000000000027,-30.000000000000135,-30.000000000000135,-20.00000000000009,-0.0,-0.0
420.0000000000019,780.0000000000034,280.00000000000125,-250.0000000000011,70.00000000000031,-320.0000000000014,-60.00000000000027,-40.00000000000018,-40.00000000000018,-20.00000000000009,-0.0,-0.0
340.00000000000153,720.0000000000032,230.00000000000102,-250.0000000000011,40.00000000000018,-320.0000000000014,-50.00000000000022,-40.00000000000018,-40.00000000000018,-20.00000000000009,-0.0,-0.0
210.00000000000094,580.0000000000026,170.00000000000077,-310.00000000000136,10.000000000000044,-320.0000000000014,-50.00000000000022,-40.00000000000018,-40.00000000000018,-30.000000000000135,-10.000000000000044,-0.0
70.00000000000031,390.0000000000017,120.00000000000054,-130.00000000000057,-30.000000000000135,-310.00000000000136,-50.00000000000022,-40.00000000000018,-50.00000000000022,-30.000000000000135,-10.000000000000044,-0.0
-50.00000000000022,190.00000000000085,90.0000000000004,10.000000000000044,-70.00000000000031,-310.00000000000136,-50.00000000000022,-50.00000000000022,-50.00000000000022,-40.00000000000018,-10.000000000000044,-10.000000000000044
-140.00000000000063,40.00000000000018,60.00000000000027,100.00000000000044,-110.00000000000048,-310.00000000000136,-50.00000000000022,-50.00000000000022,-60.00000000000027,-40.00000000000018,-20.00000000000009,-10.000000000000044
-190.00000000000085,-70.00000000000031,50.00000000000022,160.0000000000007,-120.00000000000054,-320.0000000000014,-50.00000000000022,-60.00000000000027,-70.00000000000031,-50.00000000000022,-20.00000000000009,-10.000000000000044
-210.00000000000094,-130.00000000000057,50.00000000000022,180.0000000000008,-130.00000000000057,-50.00000000000022,-60.00000000000027,-70.00000000000031,-70.00000000000031,-50.00000000000022,-20.00000000000009,-10.000000000000044
-210.00000000000094,-280.00000000000125,40.00000000000018,170.00000000000077,-120.00000000000054,-50.00000000000022,-70.00000000000031,-70.00000000000031,-70.00000000000031,-50.00000000000022,-20.00000000000009,-10.000000000000044
-180.0000000000008,-150.00000000000065,40.00000000000018,150.00000000000065,-110.00000000000048,-40.00000000000018,-70.00000000000031,-70.00000000000031,-80.00000000000036,-50.00000000000022,-20.00000000000009,-20.00000000000009
-160.0000000000007,-140.00000000000063,30.000000000000135,130.00000000000057,-100.00000000000044,-40.00000000000018,-70.00000000000031,-70.00000000000031,-70.00000000000031,-50.00000000000022,-20.00000000000009,-10.000000000000044
-140.00000000000063,-120.00000000000054,40.00000000000018,110.00000000000048,-90.0000000000004,-20.00000000000009,-70.00000000000031,-80.00000000000036,-70.00000000000031,-50.00000000000022,-20.00000000000009,-10.000000000000044
-110.00000000000048,-90.0000000000004,40.00000000000018,80.00000000000036,-80.00000000000036,-10.000000000000044,-70.00000000000031,-80.00000000000036,-70.00000000000031,-50.00000000000022,-20.00000000000009,-10.000000000000044
-100.00000000000044,-70.00000000000031,40.00000000000018,60.00000000000027,-70.00000000000031,-0.0,-70.00000000000031,-80.00000000000036,-70.00000000000031,-50.00000000000022,-20.00000000000009,-10.000000000000044
-80.00000000000036,-50.00000000000022,40.00000000000018,50.00000000000022,-60.00000000000027,-0.0,-70.00000000000031,-80.00000000000036,-80.00000000000036,-50.00000000000022,-20.00000000000009,-10.000000000000044
-60.00000000000027,-30.000000000000135,30.000000000000135,40.00000000000018,-50.00000000000022,-0.0,-70.00000000000031,-80.00000000000036,-80.00000000000036,-60.00000000000027,-20.00000000000009,-20.00000000000009
-50.00000000000022,-20.00000000000009,20.00000000000009,30.000000000000135,-30.000000000000135,-0.0,-70.00000000000031,-80.00000000000036,-80.00000000000036,-50.00000000000022,-30.000000000000135,-20.00000000000009
-40.00000000000018,-20.00000000000009,-0.0,30.000000000000135,-20.00000000000009,-10.000000000000044,-70.00000000000031,-80.00000000000036,-70.00000000000031,-50.00000000000022,-30.000000000000135,-20.00000000000009
-30.000000000000135,-30.000000000000135,-0.0,30.000000000000135,-10.000000000000044,-20.00000000000009,-70.00000000000031,-80.00000000000036,-70.00000000000031,-50.00000000000022,-30.000000000000135,-20.00000000000009
-30.000000000000135,-40.00000000000018,-10.000000000000044,30.000000000000135,-10.000000000000044,-30.000000000000135,-70.00000000000031,-80.00000000000036,-60.00000000000027,-50.00000000000022,-30.000000000000135,-20.00000000000009
-30.000000000000135,-40.00000000000018,-10.000000000000044,30.000000000000135,-0.0,-30.000000000000135,-60.00000000000027,-70.00000000000031,-60.00000000000027,-40.00000000000018,-20.00000000000009,-20.00000000000009
-30.000000000000135,-40.00000000000018,-10.000000000000044,40.00000000000018,-10.000000000000044,-20.00000000000009,-60.00000000000027,-70.00000000000031,-60.00000000000027,-40.00000000000018,-20.00000000000009,-20.00000000000009
-40.00000000000018,-40.00000000000018,-0.0,40.00000000000018,-10.000000000000044,-20.00000000000009,-60.00000000000027,-60.00000000000027,-50.00000000000022,-30.000000000000135,-20.00000000000009,-10.000000000000044
-40.00000000000018,-40.00000000000018,-0.0,40.00000000000018,-20.00000000000009,-20.00000000000009,-60.00000000000027,-60.00000000000027,-50.00000000000022,-30.000000000000135,-10.000000000000044,-10.000000000000044
