I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
160.0000000000007,140.00000000000063,-20.00000000000009,-150.00000000000065,90.0000000000004,50.00000000000022,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
140.00000000000063,130.00000000000057,-20.00000000000009,-140.00000000000063,80.00000000000036,50.00000000000022,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-0.0
130.00000000000057,120.00000000000054,-20.00000000000009,-120.00000000000054,70.00000000000031,40.00000000000018,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-0.0
120.00000000000054,110.00000000000048,-20.00000000000009,-110.00000000000048,70.00000000000031,30.000000000000135,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044
110.00000000000048,100.00000000000044,-20.00000000000009,-100.00000000000044,60.00000000000027,30.000000000000135,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044
90.0000000000004,90.0000000000004,-20.00000000000009,-90.0000000000004,50.00000000000022,20.00000000000009,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044
80.00000000000036,70.00000000000031,-20.00000000000009,-70.00000000000031,50.00000000000022,10.000000000000044,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-0.0
60.00000000000027,60.00000000000027,-10.000000000000044,-60.00000000000027,40.00000000000018,10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-10.000000000000044,-10.000000000000044
50.00000000000022,40.00000000000018,-10.000000000000044,-50.00000000000022,30.000000000000135,10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-10.000000000000044,-10.000000000000044
40.00000000000018,40.00000000000018,-0.0,-40.00000000000018,20.00000000000009,10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-10.000000000000044,-10.000000000000044
20.00000000000009,30.000000000000135,-0.0,-30.000000000000135,10.000000000000044,10.000000000000044,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-10.000000000000044
10.000000000000044,20.00000000000009,-0.0,-20.00000000000009,-0.0,10.000000000000044,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-10.000000000000044
10.000000000000044,20.00000000000009,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044
-0.0,10.000000000000044,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-0.0,-0.0
-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-0.0,-0.0
10.000000000000044,-0.0,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-0.0,-10.000000000000044
-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-10.000000000000044,-10.000000000000044
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-10.000000000000044,-10.000000000000044
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-10.000000000000044,-10.000000000000044
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-10.000000000000044,-10.000000000000044
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-10.000000000000044,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-0.0,-0.0
10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-0.0,-0.0
10.000000000000044,-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-0.0,-0.0
10.000000000000044,-0.0,-10.000000000000044,-10.000000000000044,10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10.000000000000044,-0.0,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10.000000000000044,-0.0,-10.000000000000044,-0.0,10.000000000000044,-0.0,10.000000000000044,10.000000000000044,10.000000000000044,-0.0,-0.0,-0.0
10.000000000000044,-0.0,-10.000000000000044,-0.0,10.000000000000044,-0.0,10.000000000000044,10.000000000000044,10.000000000000044,-0.0,-0.0,-0.0
10.000000000000044,-0.0,-20.00000000000009,-0.0,10.000000000000044,-10.000000000000044,20.00000000000009,20.00000000000009,20.00000000000009,10.000000000000044,10.000000000000044,10.000000000000044
10.000000000000044,-0.0,-20.00000000000009,-0.0,10.000000000000044,-10.000000000000044,30.000000000000135,30.000000000000135,30.000000000000135,10.000000000000044,10.000000000000044,10.000000000000044
10.000000000000044,-0.0,-10.000000000000044,-0.0,10.000000000000044,-0.0,40.00000000000018,40.00000000000018,30.000000000000135,20.00000000000009,20.00000000000009,10.000000000000044
10.000000000000044,-0.0,-10.000000000000044,-0.0,10.000000000000044,-0.0,40.00000000000018,40.00000000000018,40.00000000000018,20.00000000000009,20.00000000000009,20.00000000000009
10.000000000000044,-0.0,-10.000000000000044,-0.0,10.000000000000044,-0.0,50.00000000000022,50.00000000000022,40.00000000000018,20.00000000000009,30.000000000000135,20.00000000000009
-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,50.00000000000022,50.00000000000022,40.00000000000018,30.000000000000135,30.000000000000135,20.00000000000009
-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,50.00000000000022,50.00000000000022,40.00000000000018,30.000000000000135,30.000000000000135,30.000000000000135
-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,50.00000000000022,50.00000000000022,40.00000000000018,30.000000000000135,40.00000000000018,30.000000000000135
-0.0,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,40.00000000000018,50.00000000000022,30.000000000000135,20.00000000000009,40.00000000000018,30.000000000000135
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,30.000000000000135,40.00000000000018,30.000000000000135,20.00000000000009,40.00000000000018,30.000000000000135
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,20.00000000000009,30.000000000000135,20.00000000000009,10.000000000000044,30.000000000000135,30.000000000000135
-10.000000000000044,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,10.000000000000044,20.00000000000009,10.000000000000044,10.000000000000044,30.000000000000135,30.000000000000135
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-0.0,10.000000000000044,-0.0,-0.0,30.000000000000135,30.000000000000135
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,20.00000000000009,30.000000000000135
-20.00000000000009,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,-10.000000000000044,-0.0,-0.0,-0.0,20.00000000000009,20.00000000000009
-20.00000000000009,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-10.000000000000044,-20.00000000000009,-0.0,-0.0,-0.0,20.00000000000009,20.00000000000009
-10.000000000000044,-20.00000000000009,-0.0,10.000000000000044,-0.0,-10.000000000000044,-20.00000000000009,-10.000000000000044,-0.0,-0.0,20.00000000000009,20.00000000000009
-10.000000000000044,-20.00000000000009,-0.0,10.000000000000044,-0.0,-10.000000000000044,-30.000000000000135,-10.000000000000044,-0.0,-0.0,10.000000000000044,20.00000000000009
-10.000000000000044,-20.00000000000009,-0.0,10.000000000000044,-0.0,-10.000000000000044,-30.000000000000135,-10.000000000000044,-0.0,-10.000000000000044,10.000000000000044,20.00000000000009
-0.0,-10.000000000000044,-0.0,10.000000000000044,-0.0,-10.000000000000044,-20.00000000000009,-10.000000000000044,-0.0,-10.000000000000044,10.000000000000044,10.000000000000044
-0.0,-10.000000000000044,-10.000000000000044,10.000000000000044,-0.0,-10.000000000000044,-20.00000000000009,-10.000000000000044,-0.0,-10.000000000000044,10.000000000000044,10.000000000000044
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-10.000000000000044,-20.00000000000009,-10.000000000000044,-0.0,-10.000000000000044,10.000000000000044,10.000000000000044
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-10.000000000000044,-20.00000000000009,-0.0,10.000000000000044
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-10.000000000000044,-20.00000000000009,-0.0,-0.0
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-10.000000000000044,-30.000000000000135,-0.0,-0.0
-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-20.00000000000009,-30.000000000000135,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-10.000000000000044,-10.000000000000044,-20.00000000000009,-30.000000000000135,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-20.00000000000009,-20.00000000000009,-40.00000000000018,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-20.00000000000009,-20.00000000000009,-40.00000000000018,-10.000000000000044,-10.000000000000044
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-20.00000000000009,-20.00000000000009,-40.00000000000018,-10.000000000000044,-10.000000000000044
-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-20.00000000000009,-20.00000000000009,-40.00000000000018,-10.000000000000044,-10.000000000000044
-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-20.00000000000009,-20.00000000000009,-50.00000000000022,-10.000000000000044,-10.000000000000044
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-0.0,-20.00000000000009,-20.00000000000009,-50.00000000000022,-10.000000000000044,-10.000000000000044
-20.00000000000009,-10.000000000000044,-0.0,10.000000000000044,-10.000000000000044,-0.0,-0.0,-20.00000000000009,-20.00000000000009,-50.00000000000022,-10.000000000000044,-10.000000000000044
-20.00000000000009,-10.000000000000044,-0.0,20.00000000000009,-10.000000000000044,-0.0,-0.0,-20.00000000000009,-20.00000000000009,-50.00000000000022,-10.000000000000044,-10.000000000000044
-20.00000000000009,-20.00000000000009,-0.0,20.00000000000009,-10.000000000000044,-10.000000000000044,-0.0,-20.00000000000009,-20.00000000000009,-50.00000000000022,-10.000000000000044,-10.000000000000044
-20.00000000000009,-20.00000000000009,-0.0,20.00000000000009,-10.000000000000044,-10.000000000000044,-0.0,-20.00000000000009,-20.00000000000009,-50.00000000000022,-10.000000000000044,-10.000000000000044
-20.00000000000009,-20.00000000000009,-0.0,20.00000000000009,-10.000000000000044,-10.000000000000044,-0.0,-20.00000000000009,-20.00000000000009,-50.00000000000022,-20.00000000000009,-20.00000000000009
-20.00000000000009,-20.00000000000009,-0.0,20.00000000000009,-10.000000000000044,-10.000000000000044,-0.0,-20.00000000000009,-20.00000000000009,-50.00000000000022,-20.00000000000009,-20.00000000000009
-20.00000000000009,-20.00000000000009,-0.0,20.00000000000009,-10.000000000000044,-10.000000000000044,-10.000000000000044,-20.00000000000009,-20.00000000000009,-50.00000000000022,-20.00000000000009,-20.00000000000009
-10.000000000000044,-20.00000000000009,-0.0,10.000000000000044,-0.0,-10.000000000000044,-0.0,-20.00000000000009,-10.000000000000044,-40.00000000000018,-20.00000000000009,-20.00000000000009
-10.000000000000044,-20.00000000000009,-0.0,10.000000000000044,-0.0,-10.000000000000044,-0.0,-10.000000000000044,-0.0,-40.00000000000018,-20.00000000000009,-20.00000000000009
-10.000000000000044,-10.000000000000044,-0.0,10.000000000000044,-0.0,-0.0,-0.0,-0.0,10.000000000000044,-20.00000000000009,-20.00000000000009,-20.00000000000009
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,30.000000000000135,30.000000000000135,50.00000000000022,-0.0,-10.000000000000044,-20.00000000000009
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,60.00000000000027,80.00000000000036,110.00000000000048,60.00000000000027,-0.0,-10.000000000000044
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,80.00000000000036,140.00000000000063,210.00000000000094,170.00000000000077,40.00000000000018,20.00000000000009
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,100.00000000000044,210.00000000000094,340.00000000000153,320.0000000000014,130.00000000000057,90.0000000000004
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,90.0000000000004,280.00000000000125,490.00000000000216,520.0000000000023,250.0000000000011,200.00000000000088
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,60.00000000000027,340.00000000000153,650.0000000000028,740.0000000000033,420.0000000000019,340.00000000000153
-0.0,-10.000000000000044,-10.000000000000044,-0.0,-0.0,-10.000000000000044,20.00000000000009,390.0000000000017,780.0000000000034,950.0000000000042,610.0000000000027,510.0000000000023
-0.0,-10.000000000000044,-10.000000000000044,-0.0,-0.0,-10.000000000000044,-40.00000000000018,380.0000000000017,850.0000000000038,1100.0000000000048,790.0000000000035,670.000000000003
-0.0,-10.000000000000044,-0.0,-0.0,-0.0,-0.0,-130.00000000000057,320.0000000000014,840.0000000000038,1170.0000000000052,930.0000000000041,800.0000000000035
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-240.00000000000108,200.00000000000088,750.0000000000033,1130.000000000005,1010.0000000000044,870.0000000000039
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-340.00000000000153,50.00000000000022,580.0000000000026,990.0000000000044,1000.0000000000044,870.0000000000039
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-430.00000000000193,-130.00000000000057,360.0000000000016,780.0000000000034,900.000000000004,800.0000000000035
-0.0,-0.0,10.000000000000044,-0.0,-10.000000000000044,-0.0,-500.0000000000022,-310.00000000000136,120.00000000000054,530.0000000000024,740.0000000000033,680.0000000000031
-10.000000000000044,-0.0,20.00000000000009,-0.0,-20.00000000000009,10.000000000000044,-550.0000000000024,-480.00000000000216,-110.00000000000048,260.00000000000114,550.0000000000024,520.0000000000023
-10.000000000000044,10.000000000000044,30.000000000000135,-0.0,-20.00000000000009,20.00000000000009,-580.0000000000026,-630.0000000000028,-310.00000000000136,30.000000000000135,330.0000000000015,340.00000000000153
-10.000000000000044,20.00000000000009,40.00000000000018,-10.000000000000044,-20.00000000000009,30.000000000000135,-570.0000000000025,-730.0000000000033,-460.00000000000205,-160.0000000000007,130.00000000000057,170.00000000000077
-0.0,30.000000000000135,40.00000000000018,-10.000000000000044,-20.00000000000009,40.00000000000018,-540.0000000000024,-780.0000000000034,-540.0000000000024,-300.0000000000013,-30.000000000000135,20.00000000000009
-0.0,40.00000000000018,50.00000000000022,-20.00000000000009,-20.00000000000009,50.00000000000022,-500.0000000000022,-770.0000000000034,-570.0000000000025,-370.00000000000165,-160.0000000000007,-80.00000000000036
-0.0,50.00000000000022,60.00000000000027,-30.000000000000135,-30.000000000000135,60.00000000000027,-450.000000000002,-710.0000000000032,-530.0000000000024,-390.0000000000017,-230.00000000000102,-160.0000000000007
-0.0,60.00000000000027,60.00000000000027,-30.000000000000135,-30.000000000000135,60.00000000000027,-380.0000000000017,-630.0000000000028,-470.0000000000021,-360.0000000000016,-260.00000000000114,-190.00000000000085
-0.0,60.00000000000027,70.00000000000031,-30.000000000000135,-30.000000000000135,70.00000000000031,-320.0000000000014,-530.0000000000024,-380.0000000000017,-310.00000000000136,-250.0000000000011,-190.00000000000085
-0.0,70.00000000000031,70.00000000000031,-40.00000000000018,-30.000000000000135,70.00000000000031,-260.00000000000114,-420.0000000000019,-290.0000000000013,-250.0000000000011,-220.00000000000097,-170.00000000000077
